n,fecha,concepto,importe,estado,detalle,n_comprobante,documentos,confianza,origen_detalle,fuente,motivo
128,2026-08-31,Pago haberes - 570997423 570997423,-1304328.0,BLANCO,Personal - Haberes,08-2026,doc_031.pdf,alta,deducido,modelo,importe exacto coincide con sueldo neto del recibo | convencion: comprobante = periodo
129,2026-08-31,Pago haberes - 570997423 570997423,-1800000.0,BLANCO,Personal - Haberes,08-2026,doc_118.pdf,media,deducido,modelo,"importe redondo coincide con recibo, múltiples candidatos posibles | convencion: comprobante = periodo"
130,2026-08-31,Pago haberes - 570997423 570997423,-666571.0,BLANCO,Personal - Haberes,08-2026,doc_124.pdf,alta,deducido,modelo,importe exacto coincide con sueldo neto del recibo | convencion: comprobante = periodo
131,2026-08-31,Pago haberes - 570997423 570997423,-1457360.0,BLANCO,Personal - Haberes,08-2026,doc_103.pdf,alta,deducido,modelo,importe exacto coincide con sueldo neto del recibo | convencion: comprobante = periodo
132,2026-08-31,Pago haberes - 570997423 570997423,-1299440.0,BLANCO,Personal - Haberes,08-2026,doc_079.pdf,alta,deducido,modelo,importe exacto coincide con sueldo neto del recibo | convencion: comprobante = periodo
133,2026-08-31,Pago haberes - 570997423 570997423,-1800000.0,BLANCO,Personal - Haberes - Agosto 2026,08-2026,doc_118.pdf,alta,deducido,modelo,recibo de sueldo coincide importe exacto; empresa como emisor | convencion: comprobante = periodo
134,2026-08-31,Pago haberes - 570997423 570997423,-328725.0,BLANCO,Personal - Haberes - Nombre115 Nombre049 Nombre007,08-2026,doc_089.pdf,alta,deducido,modelo,recibo de sueldo coincide importe exacto; empresa como emisor | convencion: comprobante = periodo
135,2026-08-31,"Nombre031 al debito Nombre066 Nombre067 1,2%",-19200.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
136,2026-08-31,"Impuesto ley 25.413 debito 0,6%",-151065.85,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
137,2026-08-31,"Impuesto ley 25.413 credito 0,6%",-378000.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
138,2026-08-31,Comision Nombre005 Nombre088 Nombre089 Nombre090 - Comision Nombre091,-864.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
139,2026-08-31,Iva 21% Nombre040 de Nombre041 ley27743,-181.44,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
140,2026-08-31,Comision Nombre005 Nombre088 Nombre089 Nombre090 - Comision Nombre091,-1782.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
141,2026-08-31,Iva 21% Nombre040 de Nombre041 ley27743,-374.22,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
142,2026-08-31,Comision Nombre005 Nombre088 Nombre089 Nombre090 - Comision Nombre091,-1782.0,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
143,2026-08-31,Iva 21% Nombre040 de Nombre041 ley27743,-374.22,GRIS,,,,alta,ninguno,regla,cargo automatico del banco
